train_loss,step,epoch,val_loss
0.9326645135879517,9,0,
0.7966070175170898,19,0,
0.6715589761734009,29,0,
0.6190717220306396,39,0,
0.591239869594574,49,0,
0.572288990020752,59,0,
0.5482208728790283,69,0,
0.5279563665390015,79,0,
0.5264509320259094,89,0,
,97,0,0.5740942358970642
0.5173109769821167,99,1,
0.502601146697998,109,1,
0.5004862546920776,119,1,
0.5206080079078674,129,1,
0.49303609132766724,139,1,
0.5007298588752747,149,1,
0.500357985496521,159,1,
0.4984617233276367,169,1,
0.4912356734275818,179,1,
0.49640077352523804,189,1,
,195,1,0.5610666275024414
0.4833304286003113,199,2,
0.48515766859054565,209,2,
0.4941698908805847,219,2,
0.49064892530441284,229,2,
0.487303227186203,239,2,
0.4855162799358368,249,2,
0.48653584718704224,259,2,
0.47655051946640015,269,2,
0.4813794791698456,279,2,
0.4732668697834015,289,2,
,293,2,0.5593630075454712
0.47684773802757263,299,3,
0.47748348116874695,309,3,
0.4719374179840088,319,3,
0.4706783890724182,329,3,
0.47565755248069763,339,3,
0.466291606426239,349,3,
0.47416990995407104,359,3,
0.4734697937965393,369,3,
0.4711218774318695,379,3,
0.4707815647125244,389,3,
,391,3,0.5468157529830933
0.47242629528045654,399,4,
0.46681326627731323,409,4,
0.46182042360305786,419,4,
0.4584547281265259,429,4,
0.4697574973106384,439,4,
0.4617213308811188,449,4,
0.4734530448913574,459,4,
0.46667245030403137,469,4,
0.47030389308929443,479,4,
0.4559931755065918,489,4,
,489,4,0.5462478995323181
0.45773613452911377,499,5,
0.4599396884441376,509,5,
0.4627031087875366,519,5,
0.4575475752353668,529,5,
0.4619380235671997,539,5,
0.45161139965057373,549,5,
0.47000813484191895,559,5,
0.46522897481918335,569,5,
0.46376723051071167,579,5,
,587,5,0.5413074493408203
0.4581424593925476,589,6,
0.4614395499229431,599,6,
0.4681549072265625,609,6,
0.45686739683151245,619,6,
0.45960378646850586,629,6,
0.45713168382644653,639,6,
0.4613730013370514,649,6,
0.4601399898529053,659,6,
0.4566973149776459,669,6,
0.45996350049972534,679,6,
,685,6,0.5346730947494507
0.4495452046394348,689,7,
0.4573460817337036,699,7,
0.4541202783584595,709,7,
0.45188775658607483,719,7,
0.45738106966018677,729,7,
0.4587821364402771,739,7,
0.44936782121658325,749,7,
0.44176340103149414,759,7,
0.45998191833496094,769,7,
0.45172256231307983,779,7,
,783,7,0.5424365997314453
0.453921914100647,789,8,
0.4503869116306305,799,8,
0.45964503288269043,809,8,
0.4453750252723694,819,8,
0.45011818408966064,829,8,
0.4481273591518402,839,8,
0.44765713810920715,849,8,
0.4551208019256592,859,8,
0.44738784432411194,869,8,
0.4458984434604645,879,8,
,881,8,0.5361733436584473
0.4581305980682373,889,9,
0.4533396363258362,899,9,
0.447371244430542,909,9,
0.45988887548446655,919,9,
0.4478849172592163,929,9,
0.4531732499599457,939,9,
0.44843393564224243,949,9,
0.4568707346916199,959,9,
0.46492889523506165,969,9,
0.4355930685997009,979,9,
,979,9,0.5370842218399048
0.4564669728279114,989,10,
0.4562411606311798,999,10,
0.4534192681312561,1009,10,
0.4527835547924042,1019,10,
0.45242762565612793,1029,10,
0.45072007179260254,1039,10,
0.449745774269104,1049,10,
0.45787984132766724,1059,10,
0.44526946544647217,1069,10,
,1077,10,0.5399901270866394
0.44709140062332153,1079,11,
0.4389147162437439,1089,11,
0.4580014944076538,1099,11,
0.45495885610580444,1109,11,
0.4626814126968384,1119,11,
0.44840067625045776,1129,11,
0.4521870017051697,1139,11,
0.44889774918556213,1149,11,
0.44505763053894043,1159,11,
0.446689248085022,1169,11,
,1175,11,0.537869393825531
0.45130443572998047,1179,12,
0.44998809695243835,1189,12,
0.44050419330596924,1199,12,
0.4387538731098175,1209,12,
0.4598236083984375,1219,12,
0.4545326232910156,1229,12,
0.44649559259414673,1239,12,
0.44774502515792847,1249,12,
0.44893914461135864,1259,12,
0.44298213720321655,1269,12,
,1273,12,0.5318421125411987
0.454867959022522,1279,13,
0.4408392906188965,1289,13,
0.4526171088218689,1299,13,
0.4434904456138611,1309,13,
0.44315147399902344,1319,13,
0.44187551736831665,1329,13,
0.42842501401901245,1339,13,
0.44176337122917175,1349,13,
0.44684553146362305,1359,13,
0.45896226167678833,1369,13,
,1371,13,0.5443271398544312
0.4468962550163269,1379,14,
0.4493943452835083,1389,14,
0.4453366696834564,1399,14,
0.44665372371673584,1409,14,
0.44751185178756714,1419,14,
0.4371294379234314,1429,14,
0.444607675075531,1439,14,
0.43558263778686523,1449,14,
