train_loss,step,epoch,valid_loss,test_loss
0.06483125686645508,49,0,,
0.05731453001499176,99,0,,
0.05262196063995361,149,0,,
,187,0,0.049951065331697464,
0.049426015466451645,199,1,,
0.048217955976724625,249,1,,
0.046911466866731644,299,1,,
0.046013377606868744,349,1,,
,375,1,0.04613805189728737,
,376,2,,0.046046122908592224
